coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,source_file,liquidity_ratio,price_ma_3,price_ma_5,vol_3d,lr_ema_3
0x,ZRX,0.509791,0.025,0.035,0.0279999999999999,29309302.0,427933388.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0684903370989131,0.509791,0.509791,,0.0684903370989131
0x,ZRX,0.51816,0.003,0.016,-0.01,24224308.0,439124277.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0551650393038961,0.5139754999999999,0.5139754999999999,0.005917776651750227,0.0618276882014046
1inch,1INCH,1.5,0.021,0.111,0.163,120457113.0,616145134.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1955011998845064,1.5,1.5,,0.1955011998845064
1inch,1INCH,1.49,0.008,-0.003,0.087,64145152.0,617505356.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1038778876599735,1.495,1.495,0.00707106781186556,0.14968954377223995
AIOZ Network,AIOZ,0.237396,0.047,0.287,0.241,13715452.0,114207956.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1200919137367277,0.237396,0.237396,,0.1200919137367277
AIOZ Network,AIOZ,0.214561,-0.012,-0.095,-0.107,5493212.0,103148149.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0532555557540833,0.2259785,0.2259785,0.01614678334839481,0.0866737347454055
APENFT,NFT,1.523622e-06,0.004,0.005,-0.047,69002807.0,421365369.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1637600336348476,1.523622e-06,1.523622e-06,,0.1637600336348476
APENFT,NFT,1.538902e-06,0.001,0.01,-0.052,52887977.0,426608620.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1239730622414521,1.531262e-06,1.531262e-06,1.0804591616530419e-08,0.14386654793814985
API3,API3,4.7,0.0279999999999999,-0.008,-0.1009999999999999,29731985.0,230984150.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1287187237739039,4.7,4.7,,0.1287187237739039
API3,API3,4.64,0.003,-0.012,-0.146,30688251.0,230330587.0,2022-03-17,coin_gecko_2022-03-17.csv,0.133235673992356,4.67,4.67,0.0424264068711932,0.13097719888312995
ARPA Chain,ARPA,0.068515692234,0.0279999999999999,0.026,-0.008,14838311.0,66892485.0,2022-03-16,coin_gecko_2022-03-16.csv,0.2218232885203771,0.068515692234,0.068515692234,,0.2218232885203771
