coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date,source_file,liquidity_ratio,price_ma_3,price_ma_5,vol_3d,lr_ema_3,liquidity_ratio_lag1,price_lag1,24h_volume_lag1,mkt_cap_lag1,price_ret_1d,vol_chg_1d,mcap_chg_1d,log_price,log_vol,log_mcap
0x,ZRX,0.509791,0.025,0.035,0.0279999999999999,29309302.0,427933388.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0684903370989131,0.509791,0.509791,,0.0684903370989131,,,,,,,,0.41197123065117597,17.19341553212455,19.8744781082564
0x,ZRX,0.51816,0.003,0.016,-0.01,24224308.0,439124277.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0551650393038961,0.5139754999999999,0.5139754999999999,0.005917776651750227,0.0618276882014046,0.0684903370989131,0.509791,29309302.0,427933388.0,0.016416531480547832,-0.17349420330787815,0.026151006941295265,0.4174990752635863,17.002867191082473,19.90029302437015
1inch,1INCH,1.5,0.021,0.111,0.163,120457113.0,616145134.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1955011998845064,1.5,1.5,,0.1955011998845064,,,,,,,,0.9162907318741551,18.606804347132464,20.23899310251264
1inch,1INCH,1.49,0.008,-0.003,0.087,64145152.0,617505356.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1038778876599735,1.495,1.495,0.00707106781186556,0.14968954377223995,0.1955011998845064,1.5,120457113.0,616145134.0,-0.006666666666666672,-0.46748556060778246,0.002207632463425411,0.9122827104766162,17.976659088883718,20.24119830173242
AIOZ Network,AIOZ,0.237396,0.047,0.287,0.241,13715452.0,114207956.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1200919137367277,0.237396,0.237396,,0.1200919137367277,,,,,,,,0.21300917152507529,16.43403371133809,18.55353152876593
AIOZ Network,AIOZ,0.214561,-0.012,-0.095,-0.107,5493212.0,103148149.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0532555557540833,0.2259785,0.2259785,0.01614678334839481,0.0866737347454055,0.1200919137367277,0.237396,13715452.0,114207956.0,-0.09618948929215317,-0.5994873519297796,-0.09683919918853989,0.1943826946294151,15.51902388819776,18.45167686227465
APENFT,NFT,1.523622e-06,0.004,0.005,-0.047,69002807.0,421365369.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1637600336348476,1.523622e-06,1.523622e-06,,0.1637600336348476,,,,,,,,1.5236208392891796e-06,18.049657757385663,19.85901087750475
APENFT,NFT,1.538902e-06,0.001,0.01,-0.052,52887977.0,426608620.0,2022-03-17,coin_gecko_2022-03-17.csv,0.1239730622414521,1.531262e-06,1.531262e-06,1.0804591616530419e-08,0.14386654793814985,0.1637600336348476,1.523622e-06,69002807.0,421365369.0,0.010028734161097674,-0.233538760242029,0.012443478714075338,1.538900815891532e-06,17.783686612022088,19.87137757242368
API3,API3,4.7,0.0279999999999999,-0.008,-0.1009999999999999,29731985.0,230984150.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1287187237739039,4.7,4.7,,0.1287187237739039,,,,,,,,1.7404661748405046,17.207733993954076,19.257859655742656
API3,API3,4.64,0.003,-0.012,-0.146,30688251.0,230330587.0,2022-03-17,coin_gecko_2022-03-17.csv,0.133235673992356,4.67,4.67,0.0424264068711932,0.13097719888312995,0.1287187237739039,4.7,29731985.0,230984150.0,-0.012765957446808616,0.03216287106293105,-0.0028294711996472485,1.7298840655099674,17.239390468310418,19.25502617403477
ARPA Chain,ARPA,0.068515692234,0.0279999999999999,0.026,-0.008,14838311.0,66892485.0,2022-03-16,coin_gecko_2022-03-16.csv,0.2218232885203771,0.068515692234,0.068515692234,,0.2218232885203771,,,,,,,,0.06627048189664529,16.51272304260314,18.01859720189956
ARPA Chain,ARPA,0.069003373522,-0.0,0.008,-0.037,13633759.0,67762845.0,2022-03-17,coin_gecko_2022-03-17.csv,0.2011981492217453,0.068759532878,0.068759532878,0.0003448427458025915,0.2115107188710612,0.2218232885203771,0.068515692234,14838311.0,66892485.0,0.007117804288314512,-0.0811785114896163,0.013011327057142518,0.06672678781154895,16.428059627698737,18.031524608606684
Aave,AAVE,137.44,0.037,0.131,0.129,282336331.0,1862097786.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1516227198822307,137.44,137.44,,0.1516227198822307,,,,,,,,4.930437018767144,19.458609584907165,21.34496953160813
Aave,AAVE,147.18,0.0069999999999999,0.071,0.153,406722278.0,2009385126.0,2022-03-17,coin_gecko_2022-03-17.csv,0.2024113111704202,142.31,142.31,6.887220048756979,0.17701701552632543,0.1516227198822307,137.44,282336331.0,1862097786.0,0.07086728754365548,0.4405594793962241,0.0790975324214257,4.998427750988511,19.823641149313158,21.421094605253142
Aave [OLD],LEND,1.36,0.026,0.08,0.038,5128.17,69502548.0,2022-03-16,coin_gecko_2022-03-16.csv,7.378391364874853e-05,1.36,1.36,,7.378391364874853e-05,,,,,,,,0.8586616190375187,8.542699131702536,18.056873986121456
Aave [OLD],LEND,1.47,0.002,0.079,0.072,11843.62,75160944.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0001575767861563,1.415,1.415,0.07778174593052013,0.00011568034990252428,7.378391364874853e-05,1.36,5128.17,69502548.0,0.08088235294117638,1.3095217202237837,0.08141278503919022,0.9042181506398859,9.379629035031423,18.13514230560772
Aavegotchi,GHST,1.95,0.0069999999999999,0.008,0.017,28297857.0,117328055.0,2022-03-16,coin_gecko_2022-03-16.csv,0.2411857675472418,1.95,1.95,,0.2411857675472418,,,,,,,,1.0818051703517284,17.15829667070297,18.580484466610027
Aavegotchi,GHST,1.94,-0.001,0.0,-0.008,28955029.0,117650490.0,2022-03-17,coin_gecko_2022-03-17.csv,0.2461105686852643,1.9449999999999998,1.9449999999999998,0.007071067811865403,0.24364816811625306,0.2411857675472418,1.95,28297857.0,117328055.0,-0.0051282051282051325,0.023223384018090133,0.0027481491958594216,1.0784095813505903,17.181254494731977,18.5832288465246
Acala,ACA,1.1,0.035,0.022,0.018,13275096.0,140584940.0,2022-03-16,coin_gecko_2022-03-16.csv,0.0944275823569722,1.1,1.1,,0.0944275823569722,,,,,,,,0.7419373447293773,16.401400432033565,18.761322426341504
Acala,ACA,1.08,0.002,-0.0139999999999999,-0.054,8839438.0,137419617.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0643244261115936,1.09,1.09,0.014142135623730963,0.0793760042342829,0.0944275823569722,1.1,13275096.0,140584940.0,-0.018181818181818195,-0.334133779522197,-0.02251537753617137,0.7323678937132266,15.994733971061596,18.738549707764186
Adshares,ADS,3.46,0.0139999999999999,0.063,0.3289999999999999,1223986.0,82839334.0,2022-03-16,coin_gecko_2022-03-16.csv,0.014775420574965,3.46,3.46,,0.014775420574965,,,,,,,,1.4951487660319727,14.017624121082973,18.2324135669365
Adshares,ADS,3.55,0.001,0.0279999999999999,0.298,1188991.0,85408124.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0139212869258198,3.505,3.505,0.06363961030678918,0.0143483537503924,0.014775420574965,3.46,1223986.0,82839334.0,0.026011560693641578,-0.02859101329590371,0.031009302899513896,1.5151272329628591,13.988616447307137,18.26295179474845
Adventure Gold,AGLD,1.1,-0.002,0.1889999999999999,0.098,57235927.0,85075417.0,2022-03-16,coin_gecko_2022-03-16.csv,0.6727669286651866,1.1,1.1,,0.6727669286651866,,,,,,,,0.7419373447293773,17.86269237105843,18.259048691650957
Adventure Gold,AGLD,1.11,-0.011,0.009,0.089,56512453.0,85908280.0,2022-03-17,coin_gecko_2022-03-17.csv,0.6578231225209025,1.105,1.105,0.00707106781186556,0.6652950255930445,0.6727669286651866,1.1,57235927.0,85075417.0,0.009090909090909097,-0.012640207609461798,0.00978970223560585,0.7466879474879752,17.849971596605457,18.26879078510198
Aergo,AERGO,0.216541,0.011,0.003,-0.14,8958942.0,78030243.0,2022-03-16,coin_gecko_2022-03-16.csv,0.1148137139595989,0.216541,0.216541,,0.1148137139595989,,,,,,,,0.19601158592051873,16.008162809242254,18.17260705309049
Aergo,AERGO,0.218479,-0.004,0.012,-0.129,7272167.0,79214487.0,2022-03-17,coin_gecko_2022-03-17.csv,0.0918034980141953,0.21751,0.21751,0.0013703729419395259,0.10330860598689709,0.1148137139595989,0.216541,8958942.0,78030243.0,0.00894980627225327,-0.18827837037007272,0.01517673089906948,0.19760335963013884,15.799565016882829,18.187669769348062
